# Body text and see_also omitted. Full content in json/glossary.json
id,name,category,subcategory,era,also_known_as,short,source,ruler_id,image_url,wikipedia_en,wikipedia_he
frederick-ii,Frederick II,monarchs,jerusalem,1225–1228,Stupor Mundi,King of Jerusalem & Holy Roman Emperor (1225–1228),rulers,frederick-ii,Frederick_II_and_eagle.jpg,https://en.wikipedia.org/wiki/Frederick_II%2C_Holy_Roman_Emperor,"https://he.wikipedia.org/wiki/%D7%A4%D7%A8%D7%99%D7%93%D7%A8%D7%99%D7%9A_%D7%94%D7%A9%D7%A0%D7%99,_%D7%A7%D7%99%D7%A1%D7%A8_%D7%94%D7%90%D7%99%D7%9E%D7%A4%D7%A8%D7%99%D7%94_%D7%94%D7%A8%D7%95%D7%9E%D7%99%D7%AA_%D7%94%D7%A7%D7%93%D7%95%D7%A9%D7%94"
conrad-ii,Conrad II,monarchs,jerusalem,1228–1254,Conrad IV of Germany,King of Jerusalem (1228–1254),rulers,conrad-ii,Conrad_4_of_Germany.jpg,https://en.wikipedia.org/wiki/Conrad_IV_of_Germany,"https://he.wikipedia.org/wiki/%D7%A7%D7%95%D7%A0%D7%A8%D7%90%D7%93_%D7%94%D7%A8%D7%91%D7%99%D7%A2%D7%99,_%D7%9E%D7%9C%D7%9A_%D7%92%D7%A8%D7%9E%D7%A0%D7%99%D7%94"
conradin,Conradin,monarchs,jerusalem,1254–1268,the last Hohenstaufen,King of Jerusalem (1254–1268),rulers,conradin,Konradin.jpg,https://en.wikipedia.org/wiki/Conradin,"https://he.wikipedia.org/wiki/%D7%A7%D7%95%D7%A0%D7%A8%D7%90%D7%93_%D7%94%D7%A9%D7%9C%D7%99%D7%A9%D7%99,_%D7%9E%D7%9C%D7%9A_%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D"
hugh-i,Hugh I,monarchs,jerusalem,1268–1284,"Hugh III of Cyprus, “the Great”",King of Jerusalem & Cyprus (1268–1284),rulers,hugh-i,https://upload.wikimedia.org/wikipedia/commons/2/2b/HugoIIIdenario.jpg,https://en.wikipedia.org/wiki/Hugh_III_of_Cyprus,"https://he.wikipedia.org/wiki/%D7%94%D7%95%D7%92%D7%95_%D7%94%D7%A9%D7%9C%D7%99%D7%A9%D7%99,_%D7%9E%D7%9C%D7%9A_%D7%A7%D7%A4%D7%A8%D7%99%D7%A1%D7%99%D7%9F"
john-ii,John II,monarchs,jerusalem,1284–1285,John I of Cyprus,King of Jerusalem & Cyprus (1284–1285),rulers,john-ii,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Armoiries_Chypre_J%C3%A9rusalem.svg/960px-Armoiries_Chypre_J%C3%A9rusalem.svg.png,https://en.wikipedia.org/wiki/John_I_of_Cyprus,"https://he.wikipedia.org/wiki/%D7%96%27%D7%90%D7%9F_%D7%94%D7%A9%D7%A0%D7%99,_%D7%9E%D7%9C%D7%9A_%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D"
henry-ii,Henry II,monarchs,jerusalem,1285–1291,the last crowned king,King of Jerusalem & Cyprus (1285–1291),rulers,henry-ii,Silver_coin_of_King_Henry_II_of_Jerusalem_(1310-1324).jpg,https://en.wikipedia.org/wiki/Henry_II_of_Cyprus,
balian-of-ibelin,Balian of Ibelin,people,notables,c. 1143–1193,Balian of Nablus; Balian d'Ibelin,The Ibelin lord who negotiated Jerusalem's surrender to Saladin in 1187 and became one of the defining baronial figures of the kingdom's crisis years.,authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Sceau_de_Balian_d%27Ibelin.jpg/960px-Sceau_de_Balian_d%27Ibelin.jpg,https://en.wikipedia.org/wiki/Balian_of_Ibelin,
raymond-iii-of-tripoli,Raymond III of Tripoli,people,notables,1140–1187,Raymond of Tripoli; Raymond of Tiberias,"Count of Tripoli, prince of Galilee by marriage, and regent of Jerusalem; his rivalry with Guy of Lusignan shaped the kingdom's last years before Hattin.",authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Raymond_III_of_Tripoli_named_regent.jpeg/960px-Raymond_III_of_Tripoli_named_regent.jpeg,"https://en.wikipedia.org/wiki/Raymond_III,_Count_of_Tripoli",
bohemond-i-of-antioch,Bohemond I of Antioch,people,notables,c. 1054–1111,Bohemond of Taranto; Bohemond the Norman,"Norman commander of the First Crusade and founder of the Principality of Antioch, the northernmost and most Byzantine-facing of the Crusader states.",authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Bohemond_I_of_Antioch_lib.jpg/960px-Bohemond_I_of_Antioch_lib.jpg,https://en.wikipedia.org/wiki/Bohemond_I_of_Antioch,
tancred,Tancred,people,notables,c. 1075–1112,"Tancred of Hauteville; Tancred, Prince of Galilee",Norman crusader commander who linked the conquest generation to the early rule of Galilee and Antioch.,authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Tankreds_coin.jpg/960px-Tankreds_coin.jpg,"https://en.wikipedia.org/wiki/Tancred,_Prince_of_Galilee",
nur-ad-din,Nur ad-Din,people,adversaries,1118–1174,Nur al-Din Mahmud; Nūr ad-Dīn Zangī,Zengid ruler of Aleppo and Damascus whose unification of Muslim Syria prepared the way for Saladin's encirclement of the Crusader states.,authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Nur_al-Din_Mahmud_ibn_Zengi%2C_Halab_1146-1174_CE.jpg/960px-Nur_al-Din_Mahmud_ibn_Zengi%2C_Halab_1146-1174_CE.jpg,https://en.wikipedia.org/wiki/Nur_ad-Din_(died_1174),
zengi,Zengi,people,adversaries,c. 1085–1146,Imad ad-Din Zengi; Zangi,Atabeg of Mosul and Aleppo whose capture of Edessa in 1144 shattered the first Crusader state and triggered the Second Crusade.,authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Ruler_in_Turkic_dress_%28long_braids%2C_fur_hat%2C_boots%2C_fitting_coat%29%2C_in_the_Maqamat_of_al-Hariri%2C_1237_CE%2C_probably_Baghdad.jpg/960px-Ruler_in_Turkic_dress_%28long_braids%2C_fur_hat%2C_boots%2C_fitting_coat%29%2C_in_the_Maqamat_of_al-Hariri%2C_1237_CE%2C_probably_Baghdad.jpg,https://en.wikipedia.org/wiki/Imad_al-Din_Zengi,
baybars,Baybars,people,adversaries,c. 1223–1277,al-Malik al-Zahir Baybars; Baibars,Mamluk sultan whose campaigns dismantled much of what remained of the Crusader states before the final fall of Acre.,authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Baybars%2C_Medallion_IV%2C_Baptist%C3%A8re_de_Saint-Louis.jpg/960px-Baybars%2C_Medallion_IV%2C_Baptist%C3%A8re_de_Saint-Louis.jpg,https://en.wikipedia.org/wiki/Baybars,
al-kamil,al-Kamil,people,adversaries,c. 1177–1238,al-Malik al-Kamil; al-Kamil Muhammad,Ayyubid sultan of Egypt who faced the Fifth Crusade at Damietta and later negotiated Jerusalem's temporary restoration with Frederick II.,authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Benozzo_Gozzoli_-_Scenes_from_the_Life_of_St_Francis%2C_Al-Kamil_detail_%28Scene_10%2C_north_wall%29_-_WGA10241.jpg/960px-Benozzo_Gozzoli_-_Scenes_from_the_Life_of_St_Francis%2C_Al-Kamil_detail_%28Scene_10%2C_north_wall%29_-_WGA10241.jpg,https://en.wikipedia.org/wiki/Al-Kamil,
italian-maritime-communes,Italian Maritime Communes,society,society,11th–13th c.,Venetians; Genoese; Pisans; Amalfitans,"The Italian naval and merchant powers whose fleets, quarters, and privileges made the Crusader states commercially viable and politically unstable.",authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Maritime_republics_map_-_IT.png/960px-Maritime_republics_map_-_IT.png,https://en.wikipedia.org/wiki/Maritime_republics,
turcopoles-and-sergeants,Turcopoles and Sergeants,society,society,12th–13th c.,Turcopoli; sergeants; mounted sergeants,"The non-knightly soldiers who filled out Crusader armies and garrisons, from local light cavalry to urban and castle sergeants.",authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Turcopole%2C_12th_century.jpg/960px-Turcopole%2C_12th_century.jpg,https://en.wikipedia.org/wiki/Turcopole,
latin-patriarchate-of-jerusalem,Latin Patriarchate of Jerusalem,society,religion,1099–1291 in the Latin East,,"The Latin ecclesiastical hierarchy created after the conquest of Jerusalem, central to coronations, relics, diplomacy, and disputes over the Holy City.",authored,,https://upload.wikimedia.org/wikipedia/commons/1/11/Jerusalem_LatinPatriarchate_9092.jpg,https://en.wikipedia.org/wiki/Latin_Patriarchate_of_Jerusalem,
true-cross,True Cross,society,religion,"12th c.; lost at Hattin, 1187",,"The kingdom's most powerful battlefield relic, carried with the army as a sign of divine protection until its loss at Hattin.",authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Giotto_Crucifixion.jpg/960px-Giotto_Crucifixion.jpg,https://en.wikipedia.org/wiki/True_Cross,
