id,record_type,primary_name,alternative_names,medieval_names,modern_names,site_type,historical_category,title_or_designation,description,historical_significance,modern_location,latitude,longitude,coordinate_accuracy,modern_country,modern_region,crusader_state_or_polity,lordship_or_fief,accessibility,wikipedia_url,wikidata_id,primary_sources,secondary_sources,source_notes,uncertainty_notes,fortified_status,visible_remains,has_harbor,wikipedia_he_url,image_filename,crusaderatlas_url,landing_page_url
site/tel-ayalon-castellum-arnoldi,site,Tel Ayalon (Castellum Arnoldi),Yalo | Yalu | Castellum Arnoldi | Aijalon,,,Major castle / fortress,Fortification,,"Castellum Arnoldi, 'Arnold's Castle', stood at the entrance to the Ayalon Valley at Yalu, one of the classic invasion routes up to Jerusalem. It guarded the western flank of the kingdom's heartland. The medieval ruins survive today in the largely abandoned village area near Canada Park.",,"Yalo, West Bank",31.842667,35.02409,verified,Palestinian Territories,West Bank,Kingdom of Jerusalem,County of Jaffa and Ascalon,,https://en.wikipedia.org/wiki/Yalo,Q11716708,,"D. Pringle, archaeological gazetteer of the Crusader Kingdom of Jerusalem (page reference(s): 105)",coordinate status: changed; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Coordinates were revised from the original gazetteer value. Modern sovereignty of the territory is contested.,definite,partial,,https://he.wikipedia.org/wiki/%D7%99%D7%90%D7%9C%D7%95%20%28%D7%9B%D7%A4%D7%A8%29,Tel_Ayalon.jpg,https://crusaderatlas.com/?site=tel-ayalon-castellum-arnoldi,https://crusaderatlas.com/sites/tel-ayalon-castellum-arnoldi/
site/al-bira-magna-mahumeria,site,al-Bira (Magna Mahumeria),Birra | Castrum Maome/Mahomaria | Magna,,,Major castle / fortress,Fortification,,"Al-Bira, next to Ramallah, was the Crusader 'new town' of Magna Mahumeria, a planned Frankish settlement attached to the Church of the Holy Sepulchre. At its lower end stood a small castle or tower with a barrel-vaulted basement. The parish church of Magna Mahumeria is still partially visible beneath later buildings in al-Bira.",,"Al-Bireh, West Bank",31.9075,35.2189,approximate,Palestinian Territories,West Bank,Kingdom of Jerusalem,Royal Domain - Jerusalem,,https://en.wikipedia.org/wiki/Al-Bireh,Q311326,,"D. Pringle, archaeological gazetteer of the Crusader Kingdom of Jerusalem (page reference(s): 34)",coordinate status: uncertain; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Location is approximate. Coordinates flagged uncertain in source. Modern sovereignty of the territory is contested.,definite,unknown,,https://he.wikipedia.org/wiki/%D7%90%D7%9C-%D7%91%D7%99%D7%A8%D7%94,al bireh crusader church.jpg,https://crusaderatlas.com/?site=al-bira-magna-mahumeria,https://crusaderatlas.com/sites/al-bira-magna-mahumeria/
site/ain-al-haramiya-spring-of-the-templars,site,'Ain al-Haramiya (Spring of the Templars),Spring of the Brigands/Templars | Birkat al-Dawiyya | Pool of the Templars,,,Tower or smaller fortified site,Fortification,,'The Spring of the Brigands' — called the Pool of the Templars in the sources — was a Templar-controlled water source and small road station on the Jerusalem-Nablus road. A groin-vaulted cistern still survives in the Wadi al-Haramiya area.,,"Qasr al Haramiyah, West Bank",32.15857,35.13176,approximate,Palestinian Territories,West Bank,Kingdom of Jerusalem,Lordship of Nablus,,,,,"D. Pringle, archaeological gazetteer of the Crusader Kingdom of Jerusalem (page reference(s): 18)",coordinate status: uncertain; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Location is approximate. Coordinates flagged uncertain in source. Modern sovereignty of the territory is contested.,definite,unknown,,,,https://crusaderatlas.com/?site=ain-al-haramiya-spring-of-the-templars,https://crusaderatlas.com/sites/ain-al-haramiya-spring-of-the-templars/
site/bayt-ur-al-fauqa-bethoron-superior,site,Bayt 'Ur al-Fauqa (Bethoron Superior),Bethoron Superior | Vetus Bethor,,,Tower or smaller fortified site,Fortification,,Bayt 'Ur al-Fauqa — biblical Upper Beth Horon — stood on the ancient pass from the coastal plain up to Jerusalem. A Frankish tower known simply as al-Burj ('the tower') marked the Crusader presence there; the village was granted to the Holy Sepulchre in the twelfth century.,,"Beit Ur al-Fauqa, West Bank",31.88583,35.11417,verified,Palestinian Territories,West Bank,Kingdom of Jerusalem,Royal Domain - Jerusalem,,https://en.wikipedia.org/wiki/Beit_Ur_al-Fauqa,Q2905277,,"D. Pringle, archaeological gazetteer of the Crusader Kingdom of Jerusalem (page reference(s): 27)",coordinate status: verified; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Modern sovereignty of the territory is contested.,definite,unknown,,https://he.wikipedia.org/wiki/%D7%91%D7%99%D7%AA%20%D7%A2%D7%95%D7%A8%20%D7%90%D7%9C-%D7%A4%D7%95%D7%A7%D7%90,PikiWiki_Israel_9676_matat_look-out_in_bet-horon.jpg,https://crusaderatlas.com/?site=bayt-ur-al-fauqa-bethoron-superior,https://crusaderatlas.com/sites/bayt-ur-al-fauqa-bethoron-superior/
site/burj-bardawil,site,Burj Bardawil,Burj el-Bardawil | al-Baubariya,,,Tower or smaller fortified site,Fortification,,"Burj Bardawil — 'Baldwin's Tower' — is a small semi-fortified courtyard building in the central West Bank hills, with projecting turrets and barrel-vaulted ranges. Its name links it in popular memory to one of the first Crusader kings of Jerusalem, though the precise building history is uncertain.",,"Burj Bardawil, West Bank",31.98545,35.24395,approximate,Palestinian Territories,West Bank,Kingdom of Jerusalem,Lordship of Nablus,,,,,"D. Pringle, archaeological gazetteer of the Crusader Kingdom of Jerusalem (page reference(s): 42-43)",coordinate status: uncertain; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Location is approximate. Coordinates flagged uncertain in source. Fortified status not definitive (recorded as 'probable'). Modern sovereignty of the territory is contested.,probable,yes,,,Burj_Bardawil.jpg,https://crusaderatlas.com/?site=burj-bardawil,https://crusaderatlas.com/sites/burj-bardawil/
site/burj-beitin-bethel,site,Burj Beitin (Bethel),Bethel | al-Burj Beitin,,,Tower or smaller fortified site,Fortification,,"A twelfth-century tower at Burj Beitin, identified by some with biblical Bethel. The tower sits inside a rectangular enclosure and was held at various times by ecclesiastical lords of the kingdom. Substantial walls survive on the hill above the modern village of Beitin.",,"Burj Beitin, West Bank",31.9225,35.24472,verified,Palestinian Territories,West Bank,Kingdom of Jerusalem,Royal Domain - Jerusalem,,https://en.wikipedia.org/wiki/Beitin,Q2898916,,"D. Pringle, archaeological gazetteer of the Crusader Kingdom of Jerusalem (page reference(s): 42)",coordinate status: verified; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Modern sovereignty of the territory is contested.,definite,yes,,https://he.wikipedia.org/wiki/%D7%91%D7%99%D7%AA%D7%99%D7%9F,Burj_Beitin.jpg,https://crusaderatlas.com/?site=burj-beitin-bethel,https://crusaderatlas.com/sites/burj-beitin-bethel/
site/jericho-russian-compound-tower,site,Jericho — Russian Compound Tower,ay-Riha | Iericho | Hiericho | Jherico,,,Tower or smaller fortified site,Fortification,,"Jericho in the Crusader period was more of a sugar-producing agricultural centre than a fortified stronghold. A square tower near the Russian compound may preserve a small Frankish presence in the oasis, but its attribution is debated. The wider Crusader footprint in the Jordan Valley was mainly economic.",,"Jericho, West Bank",31.85819,35.45823,verified,Palestinian Territories,West Bank,Kingdom of Jerusalem,Royal Domain - Jerusalem,,https://en.wikipedia.org/wiki/Jericho,Q5687,,"D. Pringle, archaeological gazetteer of the Crusader Kingdom of Jerusalem (page reference(s): 51)",coordinate status: changed; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Coordinates were revised from the original gazetteer value. Fortified status not definitive (recorded as 'uncertain'). Modern sovereignty of the territory is contested.,uncertain,unknown,,https://he.wikipedia.org/wiki/%D7%99%D7%A8%D7%99%D7%97%D7%95,Tell_es-sultan.jpg,https://crusaderatlas.com/?site=jericho-russian-compound-tower,https://crusaderatlas.com/sites/jericho-russian-compound-tower/
site/khirbet-al-karmil-carmelus,site,Khirbet al-Karmil (Carmelus),Carmelus | Khirbet el Kirmil,,,Tower or smaller fortified site,Fortification,,"A Frankish tower incorporating the fabric of an earlier church, on a hilltop in the southern West Bank. The tower had a barrel-vaulted basement and arrow-slits, and formed part of the scattered network of small strongpoints in the hills south of Hebron.",,"Khirbet al-Karmil, West Bank",31.42361,35.13306,verified,Palestinian Territories,West Bank,Kingdom of Jerusalem,Lordship of Hebron,,https://en.wikipedia.org/wiki/Al-Karmil,Q4702667,,"D. Pringle, archaeological gazetteer of the Crusader Kingdom of Jerusalem (page reference(s): 60)",coordinate status: verified; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Modern sovereignty of the territory is contested.,definite,yes,,https://he.wikipedia.org/wiki/%D7%97'%D7%A8%D7%91%D7%AA_%D7%90%D7%9C_%D7%9B%D7%A8%D7%9E%D7%9C_(%D7%97%D7%91%D7%A8%D7%95%D7%9F),Al-Karmil0240.JPG,https://crusaderatlas.com/?site=khirbet-al-karmil-carmelus,https://crusaderatlas.com/sites/khirbet-al-karmil-carmelus/
site/qarawat-bani-hassan,site,Qarawat Bani Hassan,Burj al-Yaqur,,,Tower or smaller fortified site,Fortification,,A two-storey Frankish tower with a barrel-vaulted basement and associated medieval buildings in the village of Qarawat Bani Hassan in the central West Bank. It represents the kind of small rural stronghold held by secondary vassals of the kingdom.,,"Qarawat Bani Hassan, West Bank",32.12578,35.09933,verified,Palestinian Territories,West Bank,Kingdom of Jerusalem,Lordship of Nablus,,https://en.wikipedia.org/wiki/Qarawat_Bani_Hassan,Q2897029,,"D. Pringle, archaeological gazetteer of the Crusader Kingdom of Jerusalem (page reference(s): 84)",coordinate status: verified; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Modern sovereignty of the territory is contested.,definite,unknown,,https://he.wikipedia.org/wiki/%D7%A7%D7%A8%D7%90%D7%95%D7%95%D7%AA%20%D7%91%D7%A0%D7%99%20%D7%97%D7%A1%D7%90%D7%9F,جبال_قراوة_بني_حسان_-.jpg,https://crusaderatlas.com/?site=qarawat-bani-hassan,https://crusaderatlas.com/sites/qarawat-bani-hassan/
site/ramallah-al-burj,site,Ramallah (al-Burj),Ramalie,,,Tower or smaller fortified site,Fortification,,"Al-Burj — 'the tower' — in the middle of what is now Ramallah preserves the surviving remains of a small medieval fortified building. The site is a reminder that Ramallah, like many of the hill-country villages, had a Frankish presence in the twelfth century.",,"Ramallah, West Bank",31.896944,35.201667,approximate,Palestinian Territories,West Bank,Kingdom of Jerusalem,Royal Domain - Jerusalem,,https://en.wikipedia.org/wiki/Ramallah,Q158119,,"D. Pringle, archaeological gazetteer of the Crusader Kingdom of Jerusalem (page reference(s): 88)",coordinate status: uncertain; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Location is approximate. Coordinates flagged uncertain in source. Modern sovereignty of the territory is contested.,definite,unknown,,https://he.wikipedia.org/wiki/%D7%A8%D7%9E%D7%90%D7%9C%D7%9C%D7%94,,https://crusaderatlas.com/?site=ramallah-al-burj,https://crusaderatlas.com/sites/ramallah-al-burj/
site/sinjil-casale-s-egidii,site,Sinjil (Casale S. Egidii),Casale S. Egidii,,,Tower or smaller fortified site,Fortification,,"Sinjil takes its name from the Crusader lord Raymond of Saint-Gilles, count of Toulouse and of Tripoli. A small Frankish tower and the surrounding village were registered as the estate of a named lord in 1175. The surviving base of the tower can still be seen in the village.",,"Sinjil, West Bank",32.03306,35.26417,verified,Palestinian Territories,West Bank,Kingdom of Jerusalem,Lordship of Nablus,,https://en.wikipedia.org/wiki/Sinjil,Q2909143,,"D. Pringle, archaeological gazetteer of the Crusader Kingdom of Jerusalem (page reference(s): 93)",coordinate status: verified; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Modern sovereignty of the territory is contested.,definite,unknown,,https://he.wikipedia.org/wiki/%D7%A1%D7%99%D7%A0%D7%92%27%D7%99%D7%9C,Sinjil4140.JPG,https://crusaderatlas.com/?site=sinjil-casale-s-egidii,https://crusaderatlas.com/sites/sinjil-casale-s-egidii/
site/ar-ram,site,ar-Ram,al-Ram,,,Tower or smaller fortified site,Fortification,,"Ar-Ram, a village on the old Jerusalem-Nablus road, had a substantial Frankish tower with a barrel-vaulted basement and an internal stair leading up to the upper floor. It belonged to the network of small strongpoints that policed the main north-south route through the central hill country.",,"Al-Ram, West Bank",31.85361,35.23333,verified,Palestinian Territories,West Bank,Kingdom of Jerusalem,Royal Domain - Jerusalem,,https://en.wikipedia.org/wiki/Ar-Ram,Q775087,,"D. Pringle, archaeological gazetteer of the Crusader Kingdom of Jerusalem (page reference(s): 87)",coordinate status: verified; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Modern sovereignty of the territory is contested.,definite,unknown,,https://he.wikipedia.org/wiki/%D7%90-%D7%A8%D7%90%D7%9D,Ar Ram.png,https://crusaderatlas.com/?site=ar-ram,https://crusaderatlas.com/sites/ar-ram/
site/an-nasr-mosque-nablus-crusader-church,site,An-Nasr Mosque (Nablus Crusader Church),An-Nasr Mosque | Mosque of Victory | Masjid an-Nasr,,,Church or religious site,Religious site,,"The An-Nasr (Victory) Mosque in the heart of the Old City of Nablus stands on the site of a Crusader church, itself built over an earlier Byzantine basilica. The Crusaders, who governed the city as Naples in the twelfth century and held it as a royal demesne after King Baldwin II granted it to his daughter Princess Alice, raised the church on the central square of the Frankish quarter. After Saladin's reconquest in 1187 the building was converted into a mosque and given the name 'Victory' to commemorate the Ayyubid triumph at Hattin. The present mosque, with its famous green dome and slender Mamluk-style minaret, preserves substantial twelfth-century Crusader masonry in its lower walls and incorporates Byzantine-era columns as spolia in the prayer hall.",,Old City of Nablus,32.2189,35.2614,verified,Palestinian Territories,West Bank,Kingdom of Jerusalem,Lordship of Nablus,,https://en.wikipedia.org/wiki/An-Nasr_Mosque,Q2030638,,,coordinate source: wikipedia; coordinate status: changed; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Coordinates were revised from the original gazetteer value. Modern sovereignty of the territory is contested.,definite,yes,,,An-Nasr_Mosque3 (1).jpg,https://crusaderatlas.com/?site=an-nasr-mosque-nablus-crusader-church,https://crusaderatlas.com/sites/an-nasr-mosque-nablus-crusader-church/
site/cathedral-of-saint-john-sebastia,site,"Cathedral of Saint John, Sebastia",Nabi Yahya Mosque | Sebastiya Cathedral | St John the Baptist's Cathedral,,,Church or religious site,Religious site,,"Tradition placed the burial of John the Baptist, the prophets Elisha and Obadiah, and Empress Helena's relics of the Baptist all at Sebastia, on a hilltop above the road north of Nablus. The Crusaders rebuilt an earlier Byzantine church in the twelfth century into a vast Gothic-influenced basilica, second in size in the entire Holy Land only to the Holy Sepulchre itself. The cathedral served as the seat of a Latin bishop and an important pilgrimage destination. After Saladin's victory in 1187 it was converted into the Nabi Yahya Mosque, which still occupies the building today; the crypt beneath the dome — with its reputed tombs of the prophets, marked by a mixture of Byzantine and Crusader masonry — survives essentially intact, as do substantial portions of the Crusader nave walls.",,"Sebastia, north of Nablus",32.27667,35.196,verified,Palestinian Territories,West Bank,Kingdom of Jerusalem,Lordship of Nablus,,https://en.wikipedia.org/wiki/Nabi_Yahya_Mosque,Q2319182,,,coordinate source: wikipedia; coordinate status: changed; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Coordinates were revised from the original gazetteer value. Modern sovereignty of the territory is contested.,definite,yes,,,St._John's_crusader_Cathedral_-_panoramio.jpg,https://crusaderatlas.com/?site=cathedral-of-saint-john-sebastia,https://crusaderatlas.com/sites/cathedral-of-saint-john-sebastia/
site/church-of-the-nativity-bethlehem,site,Church of the Nativity (Bethlehem),,,,Church or religious site,Religious site,,"The core of the building is a 4th- and 6th-century Byzantine basilica over the grotto venerated as Christ's birthplace, but the Crusaders restored, decorated and embellished it extensively during their 12th-century rule. Between 1165 and 1169, wealthy pilgrims and the imperial dynasties of Byzantium and the Latin Kingdom jointly funded the addition of lavish wall mosaics and column paintings of saints; much of this Comnenian and Frankish decoration survives and was restored in the 2010s.",,Church of the Nativity (Bethlehem),31.704306,35.207583,verified,Palestinian Territories,West Bank,Kingdom of Jerusalem,Royal Domain - Jerusalem,,https://en.wikipedia.org/wiki/Church_of_the_Nativity,Q194504,,,coordinate status: verified; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Modern sovereignty of the territory is contested.,definite,yes,,https://he.wikipedia.org/wiki/%D7%9B%D7%A0%D7%A1%D7%99%D7%99%D7%AA_%D7%94%D7%9E%D7%95%D7%9C%D7%93,Mosaics_of_the_Church_of_the_Nativity_(Bethlehem)_01.jpg,https://crusaderatlas.com/?site=church-of-the-nativity-bethlehem,https://crusaderatlas.com/sites/church-of-the-nativity-bethlehem/
site/great-mosque-of-nablus-crusader-church,site,Great Mosque of Nablus (Crusader Church),"Al-Jami' al-Kabir, Nablus | Nablus Great Mosque | Cathedral of the Holy Resurrection (Nablus) | Church of the Passion (Nablus)",,,Church or religious site,Religious site,,"The Great Mosque of Nablus — al-Jami' al-Kabir, the largest and oldest mosque of the Old City — occupies the shell of the Crusader cathedral of the Holy Resurrection (sometimes identified in twelfth-century sources as the Church of the Passion or the Church of St John). The Franks rebuilt an earlier Byzantine basilica into a major three-aisled Romanesque cathedral on this site in the 1160s, when Nablus served as a royal demesne and an occasional refuge for the court. After the city's fall to Saladin in 1187 the cathedral was converted into the Great Mosque, and the Crusader nave, the side aisle arcades, and the western portal were preserved in the mosque's fabric. The building was badly damaged in the 1927 Jericho earthquake and partially rebuilt, but substantial twelfth-century Frankish masonry — including the apse and two of the cathedral's three original portals — still survives.",,Old City of Nablus,32.218006,35.269344,verified,Palestinian Territories,West Bank,Kingdom of Jerusalem,Lordship of Nablus,,https://en.wikipedia.org/wiki/Great_Mosque_of_Nablus,Q4022315,,,coordinate source: wikipedia; coordinate status: changed; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Coordinates were revised from the original gazetteer value. Modern sovereignty of the territory is contested.,definite,yes,,,Nablus_Great_Mosque.jpg,https://crusaderatlas.com/?site=great-mosque-of-nablus-crusader-church,https://crusaderatlas.com/sites/great-mosque-of-nablus-crusader-church/
site/nabi-samwil,site,Nabi Samwil,Nebi Samuel | Montjoie | Mons Gaudii | Mount of Joy | Tomb of Samuel,,,Church or religious site,Religious site,,"Nabi Samwil — 'the prophet Samuel' — stands on the highest hilltop north of Jerusalem and is the traditional site of Samuel's tomb. The Crusaders knew it as Montjoie ('Mount of Joy') because it was here, according to tradition, that the knights of the First Crusade first caught sight of Jerusalem in June 1099. A Premonstratensian monastery and a fortified church were built on the summit in the twelfth century. After the loss of Jerusalem in 1187 the Franks briefly held Nabi Samwil as a forward outpost. The Crusader church was later replaced by a mosque, but the lower levels and the rock-cut tomb chamber preserve Crusader and earlier fabric. Today the site is shared by Jewish and Muslim worshippers.",,"Nabi Samwil, north of Jerusalem",31.832978,35.181633,verified,Palestinian Territories,West Bank,Kingdom of Jerusalem,Royal Domain - Jerusalem,,https://en.wikipedia.org/wiki/Nabi_Samwil,Q3532567,,,coordinate source: wikipedia; coordinate status: changed; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Coordinates were revised from the original gazetteer value. Modern sovereignty of the territory is contested.,definite,yes,,https://he.wikipedia.org/wiki/%D7%A0%D7%91%D7%99_%D7%A1%D7%9E%D7%95%D7%90%D7%9C,NebiSamuel2.jpg,https://crusaderatlas.com/?site=nabi-samwil,https://crusaderatlas.com/sites/nabi-samwil/
site/ain-al-habis-cave-castle,site,Ain al-Habis Cave Castle,Ayn al-Habis | Cave de Suet | Habis Jaldak | 'Ain Habis,,,Major castle / fortress,Fortification,,"Ain al-Habis — known to the Crusaders as Cave de Suet — is one of the most unusual fortifications of the Latin Kingdom: a true cave castle, cut directly into the cliff face of the Yarmuk gorge in the southern Golan Heights. The complex consists of three storeys of natural and enlarged caves linked by internal staircases, with a spring inside the rock that made it almost impossible to starve out. Built or refortified in the twelfth century to control the rich grain country east of the Sea of Galilee and to tax caravans moving down the Yarmuk corridor toward the Jordan, it changed hands repeatedly between the Franks of the Principality of Galilee and the Damascene atabegs. The Franks briefly recovered it in 1182 in a celebrated siege documented by Muslim chroniclers, before Saladin's armies took it permanently after Hattin in 1187. The remains of the cave system, the cisterns, and the rock-cut stairs survive today and are accessible from the Israeli side of the Yarmuk.",,"Yarmuk gorge, southern Golan Heights",32.71972,35.83722,verified,Golan Heights (Israeli-administered; claimed by Syria),Golan Heights,Kingdom of Jerusalem,Lordship of Oultrejordain,,https://en.wikipedia.org/wiki/Ayn_al-Habis,Q65059583,,,coordinate source: wikipedia; coordinate status: changed; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Coordinates were revised from the original gazetteer value. Modern sovereignty of the territory is contested.,definite,partial,,,Ain al-habis cave castle.jpg,https://crusaderatlas.com/?site=ain-al-habis-cave-castle,https://crusaderatlas.com/sites/ain-al-habis-cave-castle/
site/nimrod-fortress,site,Nimrod Fortress,Qal'at al-Subeiba | Qal'at Namrud | Mivtzar Nimrod | Subeibe,,,Major castle / fortress,Fortification,,"Nimrod Fortress is the largest medieval castle in the region, a long, narrow stronghold strung along a rocky ridge at 800 metres elevation on the south-western slopes of Mount Hermon. It was begun in 1229 by al-Aziz 'Uthman, son of the Ayyubid sultan al-Adil, specifically to block a Crusader advance on Damascus through the Banias gap. The Mamluks later expanded it into one of the most elaborate fortresses of the thirteenth century, with huge rectangular towers, secret postern gates, a keep, and long inscriptions carved into its walls. Although it was built by the enemies of the Crusaders rather than by them, it is inseparable from the military history of the late Crusader period and today dominates the view above Banias in the Golan Heights national park system.",,"Mount Hermon foothills, Golan Heights",33.252778,35.714722,verified,Golan Heights (Israeli-administered; claimed by Syria),Golan Heights,Kingdom of Jerusalem,Lordship of Maron,,https://en.wikipedia.org/wiki/Nimrod_Fortress,Q1404704,,,coordinate source: wikipedia; coordinate status: verified; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Modern sovereignty of the territory is contested.,definite,yes,,https://he.wikipedia.org/wiki/%D7%9E%D7%91%D7%A6%D7%A8_%D7%A0%D7%9E%D7%A8%D7%95%D7%93,מבצר_נמרוד_עמק_החולה_והרי_הגליל_העליון_בבוקר_מושלג.jpg,https://crusaderatlas.com/?site=nimrod-fortress,https://crusaderatlas.com/sites/nimrod-fortress/
site/banias-belinas,site,Banias (Belinas),Belinas | Paneas | Banias,,,Walled town / citadel,Settlement,,"Banias — Belinas to the Franks — lies at the foot of Mount Hermon where one of the main sources of the Jordan emerges. A strategically vital frontier town, it changed hands several times in the twelfth century between the kingdom and Damascus before being finally lost in 1164. Walls, gates and the base of a small castle survive in the archaeological park, alongside earlier Roman and Hellenistic remains.",,"Banias, Golan Heights",33.24861,35.69444,verified,Golan Heights (Israeli-administered; claimed by Syria),Golan Heights,Kingdom of Jerusalem,Lordship of Maron,,https://en.wikipedia.org/wiki/Banias,Q606295,,"D. Pringle, archaeological gazetteer of the Crusader Kingdom of Jerusalem (page reference(s): 29)",coordinate status: verified; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Fortified status not definitive (recorded as 'probable'). Modern sovereignty of the territory is contested.,probable,yes,,https://he.wikipedia.org/wiki/%D7%91%D7%A0%D7%99%D7%90%D7%A1_%28%D7%90%D7%AA%D7%A8_%D7%90%D7%A8%D7%9B%D7%90%D7%95%D7%9C%D7%95%D7%92%D7%99%29,PikiWiki_Israel_78479_the_corner_tower_in_the_banias_reserve.jpg,https://crusaderatlas.com/?site=banias-belinas,https://crusaderatlas.com/sites/banias-belinas/
site/deir-al-balah-darum,site,Deir al-Balah (Darum),Darum | Darom | al-Darum,,,Major castle / fortress,Fortification,,"Deir al-Balah — 'the monastery of the date palms' — is the site of the twelfth-century Crusader castle of Darum, built by King Amalric around 1170 on the desert road into Egypt. A four-tower quadrangular castle, it was besieged and rebuilt several times before Saladin finally destroyed it after Hattin. Almost nothing of the castle is visible today in the modern Gaza Strip town.",,"Deir al-Balah, Gaza Strip",31.4181,34.3511,approximate,Palestinian Territories,Gaza Strip,Kingdom of Jerusalem,Lordship of Darum,,https://en.wikipedia.org/wiki/Deir_al-Balah,Q557383,,"D. Pringle, archaeological gazetteer of the Crusader Kingdom of Jerusalem (page reference(s): 46)",coordinate status: uncertain; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Location is approximate. Coordinates flagged uncertain in source. Modern sovereignty of the territory is contested.,definite,partial,,https://he.wikipedia.org/wiki/%D7%93%D7%99%D7%A8%20%D7%90%D7%9C-%D7%91%D7%9C%D7%97,Deir_al-Balah.jpg,https://crusaderatlas.com/?site=deir-al-balah-darum,https://crusaderatlas.com/sites/deir-al-balah-darum/
